Column1,stem_word,most_similar_words,new_word_id,similar_word,score,Drew_code,Jenn_code
0,addict,"('addiction', 0.6839478015899658)",0,addiction,0.683947802,1,1
1,addict,"('alcoholic', 0.6810382008552551)",1,alcoholic,0.681038201,1,1
2,addict,"('addicts', 0.6719766855239868)",2,addicts,0.671976686,1,1
3,addict,"('addicted', 0.6259124875068665)",3,addicted,0.625912488,1,1
4,addict,"('adict', 0.6240536570549011)",4,adict,0.624053657,1,1
5,addict,"('alcholic', 0.6139786839485168)",5,alcholic,0.613978684,1,1
6,addict,"('drug_addict', 0.6123453974723816)",6,drug_addict,0.612345397,1,1
7,addict,"('recovering_addict', 0.6117238402366638)",7,recovering_addict,0.61172384,1,1
8,addict,"('alocholic', 0.5949620604515076)",8,alocholic,0.59496206,1,1
9,addict,"('alchoholic', 0.5949467420578003)",9,alchoholic,0.594946742,1,1
10,user,"('sodacansuperman', 0.5631051659584045)",10,sodacansuperman,0.563105166,0,0
11,user,"('appdata_local_google_chrome', 0.5278605222702026)",11,appdata_local_google_chrome,0.527860522,0,0
12,user,"('jgoodm', 0.524959921836853)",12,jgoodm,0.524959922,0,0
13,user,"('users', 0.520516037940979)",13,users,0.520516038,1,1
14,user,"('session_authenticated_user', 0.517302930355072)",14,session_authenticated_user,0.51730293,0,0
15,user,"('kajladk', 0.49685412645339966)",15,kajladk,0.496854126,0,0
16,user,"('0x3a', 0.49474912881851196)",16,0x3a,0.494749129,0,0
17,user,"('bdizzle420247', 0.4904922544956207)",17,bdizzle420247,0.490492254,0,0
18,user,"('lolotelli', 0.48631882667541504)",18,lolotelli,0.486318827,0,0
19,user,"('staragate', 0.4809650778770447)",19,staragate,0.480965078,0,0
20,abuser,"('abusers', 0.695186972618103)",20,abusers,0.695186973,1,1
21,abuser,"('perpetrator', 0.636640191078186)",21,perpetrator,0.636640191,0,0
22,abuser,"('offender', 0.6012646555900574)",22,offender,0.601264656,0,0
23,abuser,"('abusee', 0.5953758358955383)",23,abusee,0.595375836,0,1
24,abuser,"('perp', 0.5936321020126343)",24,perp,0.593632102,0,0
25,abuser,"('abusive', 0.5883575677871704)",25,abusive,0.588357568,0,1
26,abuser,"('alcoholic_drug_addict', 0.5800045132637024)",26,alcoholic_drug_addict,0.580004513,1,1
27,abuser,"('abusive_relationship', 0.5596670508384705)",27,abusive_relationship,0.559667051,0,0
28,abuser,"('neglect_abandonment', 0.5559259653091431)",28,neglect_abandonment,0.555925965,0,0
29,abuser,"('unrepentant_abuser', 0.5556890368461609)",29,unrepentant_abuser,0.555689037,0,1
30,junkie,"('addict', 0.5865216851234436)",30,addict,0.586521685,1,1
31,junkie,"('junky', 0.5841946005821228)",31,junky,0.584194601,1,1
32,junkie,"('drug_addict', 0.5667956471443176)",32,drug_addict,0.566795647,1,1
33,junkie,"('addicted', 0.5459640026092529)",33,addicted,0.545964003,1,1
34,junkie,"('druggie', 0.5409051775932312)",34,druggie,0.540905178,1,1
35,junkie,"('fiend', 0.5241281390190125)",35,fiend,0.524128139,1,1
36,junkie,"('pothead', 0.5059143900871277)",36,pothead,0.50591439,1,1
37,junkie,"('junkies', 0.5040671229362488)",37,junkies,0.504067123,1,1
38,junkie,"('heroin_addict', 0.4958747625350952)",38,heroin_addict,0.495874763,1,1
39,junkie,"('fanatic', 0.46920672059059143)",39,fanatic,0.469206721,0,0
40,alcoholic,"('alcholic', 0.8170824646949768)",40,alcholic,0.817082465,0,0
41,alcoholic,"('alchoholic', 0.7573719024658203)",41,alchoholic,0.757371902,0,0
42,alcoholic,"('alocholic', 0.7257784008979797)",42,alocholic,0.725778401,0,0
43,alcoholic,"('alcoholic_drug_addict', 0.7075038552284241)",43,alcoholic_drug_addict,0.707503855,1,1
44,alcoholic,"('drug_addict', 0.686487078666687)",44,drug_addict,0.686487079,1,1
45,alcoholic,"('aloholic', 0.6860281825065613)",45,aloholic,0.686028183,0,0
46,alcoholic,"('addict', 0.6810382604598999)",46,addict,0.68103826,1,1
47,alcoholic,"('alcohlic', 0.6559048295021057)",47,alcohlic,0.65590483,0,0
48,alcoholic,"('alcaholic', 0.6501529812812805)",48,alcaholic,0.650152981,0,0
49,alcoholic,"('acoholic', 0.6443312764167786)",49,acoholic,0.644331276,0,0
50,drunk,"('blackout_drunk', 0.7324531674385071)",50,blackout_drunk,0.732453167,0,0
51,drunk,"('intoxicated', 0.7185208797454834)",51,intoxicated,0.71852088,1,1
52,drunk,"('shitfaced', 0.7030916213989258)",52,shitfaced,0.703091621,1,1
53,drunk,"('tipsy', 0.639421284198761)",53,tipsy,0.639421284,1,1
54,drunk,"('stoned', 0.6320614814758301)",54,stoned,0.632061481,1,1
55,drunk,"('inebriated', 0.61567622423172)",55,inebriated,0.615676224,1,1
56,drunk,"('paralytically', 0.6076234579086304)",56,paralytically,0.607623458,0,0
57,drunk,"('buzzed', 0.6010434031486511)",57,buzzed,0.601043403,1,1
58,drunk,"('hammered', 0.5691573619842529)",58,hammered,0.569157362,1,1
59,drunk,"('drunken', 0.561235249042511)",59,drunken,0.561235249,1,1
60,habit,"('habbit', 0.7403287291526794)",60,habbit,0.740328729,1,1
61,habit,"('habits', 0.6109073758125305)",61,habits,0.610907376,1,1
62,habit,"('addiction', 0.5581374168395996)",62,addiction,0.558137417,1,1
63,habit,"('habitual', 0.49470123648643494)",63,habitual,0.494701236,1,1
64,habit,"('start_reflecting_fondly', 0.47351503372192383)",64,start_reflecting_fondly,0.473515034,0,0
65,habit,"('habbits', 0.46777743101119995)",65,habbits,0.467777431,1,1
66,habit,"('nicotine_addiction', 0.443225622177124)",66,nicotine_addiction,0.443225622,0,0
67,habit,"('nicodemon', 0.4421999454498291)",67,nicodemon,0.442199945,0,0
68,habit,"('cig', 0.43708139657974243)",68,cig,0.437081397,0,0
69,habit,"('nasty', 0.4220429062843323)",69,nasty,0.422042906,1,1
70,dirty,"('filthy', 0.6857637763023376)",70,filthy,0.685763776,1,1
71,dirty,"('smelly', 0.5506933927536011)",71,smelly,0.550693393,1,1
72,dirty,"('grimy', 0.5465357899665833)",72,grimy,0.54653579,1,1
73,dirty,"('slimy', 0.5427399277687073)",73,slimy,0.542739928,1,1
74,dirty,"('grubby', 0.5211503505706787)",74,grubby,0.521150351,1,1
75,dirty,"('stinky', 0.51761394739151)",75,stinky,0.517613947,1,1
76,dirty,"('sweaty', 0.49768325686454773)",76,sweaty,0.497683257,1,1
77,dirty,"('disgusting', 0.4878365993499756)",77,disgusting,0.487836599,1,1
78,dirty,"('unwashed', 0.47968918085098267)",78,unwashed,0.479689181,1,1
79,dirty,"('unhygienic', 0.46984410285949707)",79,unhygienic,0.469844103,1,1
80,stigma,"('social_stigma', 0.7227841019630432)",80,social_stigma,0.722784102,1,1
81,stigma,"('stigma_attached', 0.7182413339614868)",81,stigma_attached,0.718241334,1,1
82,stigma,"('stigma_associated', 0.6405112743377686)",82,stigma_associated,0.640511274,1,1
83,stigma,"('stigmas', 0.6286206841468811)",83,stigmas,0.628620684,1,1
84,stigma,"('stigma_surrounding', 0.5532160997390747)",84,stigma_surrounding,0.5532161,1,1
85,stigma,"('mental_illness', 0.5349299311637878)",85,mental_illness,0.534929931,1,1
86,stigma,"('stigmatized', 0.5239574909210205)",86,stigmatized,0.523957491,1,1
87,stigma,"('stigmatism', 0.5193446278572083)",87,stigmatism,0.519344628,0,0
88,stigma,"('prejudice', 0.475972056388855)",88,prejudice,0.475972056,1,1
89,stigma,"('unaddressed_addiction', 0.47126761078834534)",89,unaddressed_addiction,0.471267611,1,1
90,bias,"('biases', 0.7042331695556641)",90,biases,0.70423317,1,1
91,bias,"('biased', 0.6465941667556763)",91,biased,0.646594167,1,1
92,bias,"('confirmation_bias', 0.5867537260055542)",92,confirmation_bias,0.586753726,0,0
93,bias,"('prejudices', 0.5810531973838806)",93,prejudices,0.581053197,1,1
94,bias,"('cultural_bias', 0.5612401366233826)",94,cultural_bias,0.561240137,1,1
95,bias,"('prejudice', 0.548508882522583)",95,prejudice,0.548508883,1,1
96,bias,"('inherent_bias', 0.5388150215148926)",96,inherent_bias,0.538815022,1,1
97,bias,"('heavily_biased', 0.5348363518714905)",97,heavily_biased,0.534836352,1,1
98,bias,"('favoritism', 0.5153065323829651)",98,favoritism,0.515306532,1,0
99,bias,"('bigotry', 0.4974566400051117)",99,bigotry,0.49745664,1,1
100,stereotype,"('stereotypes', 0.7443199157714844)",100,stereotypes,0.744319916,1,1
101,stereotype,"('stereotypical', 0.6597116589546204)",101,stereotypical,0.659711659,1,1
102,stereotype,"('stereotyping', 0.6422012448310852)",102,stereotyping,0.642201245,1,1
103,stereotype,"('sterotype', 0.6042686104774475)",103,sterotype,0.60426861,1,1
104,stereotype,"('negative_stereotypes', 0.5690613389015198)",104,negative_stereotypes,0.569061339,1,1
105,stereotype,"('stereotypically', 0.5676756501197815)",105,stereotypically,0.56767565,1,1
106,stereotype,"('racial_stereotype', 0.5591234564781189)",106,racial_stereotype,0.559123456,1,0
107,stereotype,"('effeminate_gay', 0.5532121062278748)",107,effeminate_gay,0.553212106,0,0
108,stereotype,"('reverse_racism', 0.5477930307388306)",108,reverse_racism,0.547793031,0,0
109,stereotype,"('fetishizing', 0.5458522439002991)",109,fetishizing,0.545852244,0,0
110,shame,"('guilt', 0.5863933563232422)",110,guilt,0.586393356,0,0
111,shame,"('embarrassment', 0.528176486492157)",111,embarrassment,0.528176486,1,1
112,shame,"('self_loathing', 0.5132767558097839)",112,self_loathing,0.513276756,0,0
113,shame,"('embarassment', 0.5075473189353943)",113,embarassment,0.507547319,1,1
114,shame,"('pity', 0.501816987991333)",114,pity,0.501816988,1,0
115,shame,"('disgust', 0.4741336405277252)",115,disgust,0.474133641,1,1
116,shame,"('worthlessness', 0.47403040528297424)",116,worthlessness,0.474030405,1,1
117,shame,"('remorse', 0.46163392066955566)",117,remorse,0.461633921,0,0
118,shame,"('humiliation', 0.45404502749443054)",118,humiliation,0.454045027,1,1
119,shame,"('disappointment', 0.44304272532463074)",119,disappointment,0.443042725,1,1
120,blame,"('blaming', 0.7237976789474487)",120,blaming,0.723797679,1,1
121,blame,"('blamed', 0.6130921244621277)",121,blamed,0.613092124,1,1
122,blame,"('blames', 0.581384539604187)",122,blames,0.58138454,1,1
123,blame,"('fault', 0.526849091053009)",123,fault,0.526849091,1,1
124,blame,"('punish', 0.49681878089904785)",124,punish,0.496818781,1,1
125,blame,"('berate', 0.4779364764690399)",125,berate,0.477936476,1,1
126,blame,"('responsibility', 0.455581933259964)",126,responsibility,0.455581933,0,0
127,blame,"('responsible', 0.450766384601593)",127,responsible,0.450766385,0,0
128,blame,"('balme', 0.4457939863204956)",128,balme,0.445793986,1,1
129,blame,"('forgive', 0.440827339887619)",129,forgive,0.44082734,0,0
