similar_word,stem_word,score
users,user,0.520516038
abusers,abuser,0.695186973
abusee,abuser,0.595375836
abusive,abuser,0.588357568
alcoholic_drug_addict,abuser,0.580004513
unrepentant_abuser,abuser,0.555689037
addict,junkie,0.586521685
junky,junkie,0.584194601
drug_addict,junkie,0.566795647
addicted,junkie,0.545964003
druggie,junkie,0.540905178
fiend,junkie,0.524128139
pothead,junkie,0.50591439
junkies,junkie,0.504067123
heroin_addict,junkie,0.495874763
alcoholic_drug_addict,alcoholic,0.707503855
drug_addict,alcoholic,0.68648707899999994
addict,alcoholic,0.68103826
intoxicated,drunk,0.71852088
shitfaced,drunk,0.703091621
tipsy,drunk,0.639421284
stoned,drunk,0.632061481
inebriated,drunk,0.615676224
buzzed,drunk,0.601043403
hammered,drunk,0.569157362
drunken,drunk,0.561235249
habbit,habit,0.740328729
habits,habit,0.610907376
addiction,habit,0.558137417
habitual,habit,0.494701236
habbits,habit,0.467777431
nasty,habit,0.422042906
filthy,dirty,0.685763776
smelly,dirty,0.550693393
grimy,dirty,0.54653579
slimy,dirty,0.542739928
grubby,dirty,0.521150351
stinky,dirty,0.517613947
sweaty,dirty,0.497683257
disgusting,dirty,0.487836599
unwashed,dirty,0.479689181
unhygienic,dirty,0.469844103
social_stigma,stigma,0.722784102
stigma_attached,stigma,0.718241334
stigma_associated,stigma,0.640511274
stigmas,stigma,0.628620684
stigma_surrounding,stigma,0.5532161
mental_illness,stigma,0.534929931
stigmatized,stigma,0.523957491
prejudice,stigma,0.475972056
unaddressed_addiction,stigma,0.471267611
biases,bias,0.70423317
biased,bias,0.646594167
prejudices,bias,0.581053197
cultural_bias,bias,0.561240137
prejudice,bias,0.548508883
inherent_bias,bias,0.538815022
heavily_biased,bias,0.534836352
bigotry,bias,0.49745664
stereotypes,stereotype,0.744319916
stereotypical,stereotype,0.659711659
stereotyping,stereotype,0.642201245
sterotype,stereotype,0.60426861
negative_stereotypes,stereotype,0.569061339
stereotypically,stereotype,0.56767565
embarrassment,shame,0.528176486
embarassment,shame,0.507547319
pity,shame,0.501816988
disgust,shame,0.474133641
worthlessness,shame,0.474030405
humiliation,shame,0.454045027
disappointment,shame,0.443042725
blaming,blame,0.723797679
blamed,blame,0.613092124
blames,blame,0.58138454
fault,blame,0.526849091
punish,blame,0.496818781
berate,blame,0.477936476
balme,blame,0.445793986
